Alpha,T1_Re0.800_M0.08_N9.0, , 
          -20,    -0.3235435, , 
          -19,     -0.233628, , 
          -18,    -0.1407876, , 
          -17,    -0.1026041, , 
          -16,   -0.06846862, , 
          -15,   -0.03549101, , 
          -14,  -0.001818725, , 
          -13,    0.02684587, , 
          -12,    0.06234544, , 
          -11,     0.0979432, , 
          -10,     0.1329067, , 
           -9,     0.1665771, , 
           -8,     0.1970402, , 
           -6,     0.2820877, , 
           -5,     0.3972499, , 
           -4,     0.5121132, , 
           -3,     0.6255933, , 
           -2,      0.739414, , 
           -1,     0.8529164, , 
            0,     0.9640256, , 
            1,      1.069656, , 
            2,      1.175347, , 
            3,       1.28391, , 
            4,      1.387254, , 
            5,      1.485014, , 
            6,      1.573142, , 
            7,      1.638171, , 
            8,      1.687807, , 
            9,      1.712853, , 
           10,      1.719514, , 
           11,      1.735804, , 
           12,      1.742092, , 
           13,      1.733052, , 
           14,       1.71208, , 
           15,      1.684649, , 
           16,      1.679008, , 
           17,      1.658386, , 
           18,      1.627572, , 
           19,      1.594637, , 
           20,      1.571952, , 

