Alpha,T1_Re0.800_M0.08_N9.0, , 
          -20,   -0.04111562, , 
          -19,   -0.06720962, , 
          -18,   -0.09435964, , 
          -17,    -0.1025865, , 
          -16,    -0.1088267, , 
          -15,    -0.1146801, , 
          -14,    -0.1202609, , 
          -13,    -0.1250838, , 
          -12,    -0.1294584, , 
          -11,    -0.1341762, , 
          -10,    -0.1392343, , 
           -9,    -0.1446626, , 
           -8,    -0.1494655, , 
           -6,    -0.2097474, , 
           -5,    -0.2130447, , 
           -4,    -0.2141519, , 
           -3,    -0.2147731, , 
           -2,    -0.2154508, , 
           -1,    -0.2161786, , 
            0,    -0.2164833, , 
            1,    -0.2160702, , 
            2,    -0.2147904, , 
            3,    -0.2146637, , 
            4,    -0.2135266, , 
            5,    -0.2113797, , 
            6,    -0.2074699, , 
            7,    -0.1991983, , 
            8,    -0.1889857, , 
            9,    -0.1767886, , 
           10,    -0.1643481, , 
           11,    -0.1544888, , 
           12,    -0.1449335, , 
           13,     -0.135807, , 
           14,    -0.1279184, , 
           15,    -0.1221313, , 
           16,    -0.1193787, , 
           17,    -0.1186177, , 
           18,    -0.1206932, , 
           19,    -0.1255469, , 
           20,    -0.1318488, , 

